0x400a7e: ret
0x4211d5: retw
0x401a7d: iret
0x4090a1: retf
0x40ee5f: neg eax; ret
0x405895: pop rsi; ret
0x400a08: pop rbp; ret
0x40148a: pop rsp; ret
0x401489: pop r12; ret
0x42177b: rex.RXB iret
0x491844: int 0x6b; ret
0x41f94e: push rdi; ret
0x4044a8: shr cl,1; ret
0x43d9ac: setae al; ret
0x4721f5: rex.WRB iretq
0x400a7f: nop; repz ret
0x49dafe: push rbp; ret
0x421e76: rex.WRXB retf
0x48ef06: push rsi; ret
0x465f08: push rsp; ret
0x43c547: or bl,dh; ret
0x479855: or dh,bl; ret
0x40dcff: lock repz ret
0x447b21: push rbx; ret
0x44490f: add cl,ch; ret
0x416278: sbb bl,ch; ret
0x407f1a: rex.X retf 0x0
0x421705: rex.WRXB iretq
0x40f726: xor bl,dh; ret
0x45dafe: rex.W; rex ret
0x40a449: add dh,bl; ret
0x41d716: cmp al,dh; ret
0x4783d5: sbb dh,bl; ret
0x413740: add bl,ch; ret
0x49bf16: add bh,ah; ret
0x4009cf: add bl,dh; ret
0x46bc00: xor dl,dh; ret
0x402837: add al,ch; ret
0x4389d2: in eax,dx; ret
0x476a0f: shr cl,cl; ret
0x41e30d: nop [rax]; ret
0x46f727: sbb al,ch; ret
0x46c897: adc al,ch; ret
0x43a04e: in al,0xf3; ret
0x4326d8: add al,0x7; ret
0x471b1b: jmp [rcx]; retf
0x4057ee: add bl,sil; ret
0x41da28: vzeroupper; ret
0x40d74a: rex.R ret 0x389
0x43c954: or esi,ebx; ret
0x42a8c2: rex.WB clc; ret
0x487909: sldt [rax]; ret
0x41e309: or eax,0x1; ret
0x4004ce: xchg ax,ax; ret
0x4155c7: rex.X; lock ret
0x45e815: rex; rex.WR ret
0x40d786: or ebx,esi; ret
0x490129: addr32 sti; ret
0x44c68a: or al,0x83; ret
0x40bbcb: mov dh,0x0; ret
0x477883: clc; leave; ret
0x400b31: nop; leave; ret
0x42a8d3: rex.WB cld; ret
0x40a911: mov dh,0x2; ret
0x47252b: add al,ch; iret
0x426eea: lock rex.RX ret
0x43903b: rex.RX clc; ret
0x46fdd2: sub rax,r8; ret
0x47750d: adc al,0xf7; ret
0x40e09f: add al,0x3a; ret
0x438f0d: sub eax,esi; ret
0x432d42: bsf rax,rdx; ret
0x400413: add esp,0x8; ret
0x40a4f4: mov eax,edi; ret
0x46f363: mov rax,rsi; ret
0x461111: mov eax,0x5; ret
0x4610d0: mov rax,0x1; ret
0x461130: mov rax,0x7; ret
0x46fdd3: sub eax,eax; ret
0x4331a8: mov rax,rdx; ret
0x451674: mov eax,r9d; ret
0x4610a0: add rax,0x1; ret
0x4604fc: rex.R ret 0x90c3
0x43a572: mov eax,eax; ret
0x460c8a: shr rax,0x2; ret
0x4610b1: add eax,0x3; ret
0x41d4f9: add eax,ecx; ret
0x461131: mov eax,0x7; ret
0x4610f1: mov eax,0x3; ret
0x427c16: jg 0x427c27; ret
0x4620dc: adc ebx,esi; ret
0x42a736: jg 0x42a747; ret
0x48e9c0: rol cl,0xc2; ret
0x42a8ae: rex.WB; lock ret
0x438d43: sub rax,0x1; ret
0x451675: mov eax,ecx; ret
0x4610e0: mov rax,0x2; ret
0x4610f0: mov rax,0x3; ret
0x460e93: mov eax,0x2; ret
0x400412: add rsp,0x8; ret
0x46f364: mov eax,esi; ret
0x432e59: sub eax,edi; ret
0x49bee3: or al,[rcx]; ret
0x49028a: xor al,0xd8; ret
0x477a06: mov rsp,rcx; ret
0x438e13: sub rax,rdx; ret
0x48f10a: mov ah,0x13; ret
0x461100: mov rax,0x4; ret
0x40ea1b: sub eax,edx; ret
0x436ed0: xor rax,rax; ret
0x403d4a: add al,0xeb; ret
0x4159b7: mov cl,0x35; ret
0x43b77c: add esi,ebx; ret
0x415c44: rex.R ret 0x8348
0x40714d: xor eax,eax; ret
0x43902c: rex.RX; lock ret
0x477a07: mov esp,ecx; ret
0x43dc32: ja 0x43dc54; ret
0x461121: mov eax,0x6; ret
0x43a47d: rex.R ret 0xc35b
0x44a36b: and eax,0x0; ret
0x460c8b: shr eax,0x2; ret
0x461097: add rax,0x2; ret
0x4402f0: mov eax,0x8; ret
0x461120: mov rax,0x6; ret
0x438d44: sub eax,0x1; ret
0x46eeb2: cmp ecx,ecx; ret
0x40a4f3: mov rax,rdi; ret
0x415d80: rex.R ret 0x66c3
0x44864d: rex.W ret 0xc083
0x491f8a: mov ch,0xab; ret
0x41d724: add eax,edi; ret
0x44843d: and al,0x89; ret
0x43ba6b: add al,0xf3; ret
0x432cf6: bsf eax,edx; ret
0x45fc5e: add al,0x31; ret
0x41d4f8: add rax,rcx; ret
0x49bd25: jo 0x49bd2a; ret
0x461098: add eax,0x2; ret
0x45fb5a: add al,0x37; ret
0x416820: rex.RB ret 0xfc3
0x4610a1: add eax,0x1; ret
0x438f0c: sub rax,rsi; ret
0x417fac: sub eax,ecx; ret
0x432e58: sub rax,rdi; ret
0x41d723: add rax,rdi; ret
0x44238d: rex.W ret 0x41c3
0x4610b0: add rax,0x3; ret
0x461110: mov rax,0x5; ret
0x48f5b0: mov ah,0xa5; ret
0x43904a: rex.WRX cld; ret
0x41d715: cmp al,r14b; ret
0x46ef59: adc eax,eax; ret
0x45db82: rex.R ret 0x4389
0x4331a9: mov eax,edx; ret
0x461101: mov eax,0x4; ret
0x455e2f: mov eax,0x1; ret
0x40748d: rex.RB ret 0x8348
0x461d31: add esp,0x78; ret
0x45e7f0: cmove r8,rcx; ret
0x421ffa: rex.WRXB cld; ret
0x462322: rex.WRB; repz ret
0x414ef8: add rsp,0x18; ret
0x427bb3: mov [rdi],dx; ret
0x414ef9: add esp,0x18; ret
0x415bc0: mov eax,0x16; ret
0x46d438: add rsp,0x48; ret
0x43a50d: rex.RB ret 0xc35b
0x43b97a: add esp,0x58; ret
0x4691ea: add al,0x75; retf
0x41d746: cmp [rax],ah; ret
0x43b86c: add esp,0x68; ret
0x40ed7d: add [rcx],al; ret
0x426d7e: rex.RXB; lock ret
0x4079d4: add rsp,0xd8; ret
0x46de58: mov [rdi],r9; ret
0x4142ca: sub [rax],al; ret
0x432925: rex.RB ret 0xf8c5
0x496492: xor [rdx],al; ret
0x401a7b: out 0xe8,al; iret
0x4364d0: mov [rdi],dh; ret
0x49571e: jno 0x49572a; ret
0x48f6f9: xchg esp,eax; ret
0x475cb5: add [rax],cl; ret
0x4079d9: add [rax],al; ret
0x427c23: mov [rdi],dl; ret
0x475173: mov [r10],r8; ret
0x43dc14: sub [rcx],al; ret
0x439319: mov [rdi],si; ret
0x415d07: rex.RB ret 0x66c3
0x43eecd: sar [rcx],cl; ret
0x461f85: add rsp,0x38; ret
0x43b9d5: pop rdx; repz ret
0x43b86b: add rsp,0x68; ret
0x47219f: nop; pop rbx; ret
0x4014ca: add [rcx],bh; ret
0x403efb: xchg ebp,eax; ret
0x43b74a: add esp,0x28; ret
0x46238b: rex.RB ret 0x31c3
0x415c80: rex.RB ret 0xc3f3
0x48f6e6: add al,0x3d; retf
0x43b979: add rsp,0x58; ret
0x4079d5: add esp,0xd8; ret
0x48ed25: sbb bl,[rsi]; ret
0x41564a: sub eax,0x10; ret
0x46d439: add esp,0x48; ret
0x4324c4: rex.RB ret 0x90c3
0x447ba4: rex.RX ret 0xc389
0x4479b8: shr [rcx],cl; ret
0x461f86: add esp,0x38; ret
0x43c5db: sub ebp,eax; iret
0x41f03d: cmp [rdi],dl; ret
0x415649: sub rax,0x10; ret
0x42a8f2: mov [rdi],cl; ret
0x41d736: cmp [rax],dl; ret
0x427b4b: mov [rdi],cx; ret
0x461d30: add rsp,0x78; ret
0x42151a: rex.WRXB clc; ret
0x43b749: add rsp,0x28; ret
0x436005: lea eax,[rdx]; ret
0x475119: fdiv st,st(3); ret
0x41d554: xlat ds:[rbx]; ret
0x427914: mov [rdi],edx; ret
0x42760c: mov [rdi],ecx; ret
0x45e7f1: cmove eax,ecx; ret
0x43d9ab: cli; setae al; ret
0x46aea2: mov [rsi],eax; ret
0x415d7f: cmove eax,edx; ret
0x4216d0: push rdi; cld; ret
0x44238c: cmovs eax,edx; ret
0x4776ec: nop [rax+0x0]; ret
0x42760b: mov [rdi],rcx; ret
0x4392fb: mov [rdi],rsi; ret
0x43baa8: push rdi; repz ret
0x415d7e: cmove rax,rdx; ret
0x4394b8: adc [rbx],eax; ret
0x421558: push rdi; clc; ret
0x478da4: dec [rax-0x9]; ret
0x439431: adc [rbx],esp; ret
0x4392fc: mov [rdi],esi; ret
0x44a699: add rsp,0x148; ret
0x436af3: lea eax,[rdi]; ret
0x40ece5: sub [rax],eax; ret
0x436af2: lea rax,[rdi]; ret
0x40e9e7: mov [rdx],rax; ret
0x464c79: push rdi; ret 0x23
0x40f811: mov [rsi],rcx; ret
0x46ad39: and eax,[rax]; ret
0x40f812: mov [rsi],ecx; ret
0x4913aa: rex.WB retf 0x99e0
0x46a17a: mov eax,[rcx]; ret
0x45f191: dec [rax+0x1]; ret
0x427913: mov [rdi],rdx; ret
0x40f916: dec [rcx-0x9]; ret
0x426dee: rex.WRXB; lock ret
0x436004: lea rax,[rdx]; ret
0x40e9e8: mov [rdx],eax; ret
0x4903e6: mov edi,[rdx]; ret
0x449100: mov [rdi],0x0; ret
0x46df92: jmp 0x89668e3; ret
0x470033: and rax,[rax]; ret
0x477522: mov [rax],edx; ret
0x47aad8: stc; push rbx; ret
0x477521: mov [rax],rdx; ret
0x46b789: mov eax,[rax]; ret
0x44a69a: add esp,0x148; ret
0x4774b2: mov rax,[rax]; ret
0x46aea1: mov [rsi],rax; ret
0x43c9de: dec [rax+0x9]; ret
0x44a367: add rax,fs:0x0; ret
0x415d06: cmovne eax,edx; ret
0x496df0: add [rdx],0x5a; ret
0x44a368: add rax,ds:0x0; ret
0x42759b: movq [rdi],mm0; ret
0x43b6ec: push [rbx+0x1]; ret
0x44fc54: dec [rcx+0x39]; ret
0x4044a7: rex.R shr cl,1; ret
0x4275f5: movq [rdi],mm1; ret
0x44a369: add eax,ds:0x0; ret
0x46d104: sub rax,fs:0x0; ret
0x4155da: cmovne eax,ecx; ret
0x458aba: dec [rcx+0x63]; ret
0x4774c9: fcomi st,st(3); ret
0x40c068: dec [rax+0x39]; ret
0x405192: dec [rax-0x7d]; ret
0x4155d9: cmovne rax,rcx; ret
0x49dafc: add [rdx],0x55; ret
0x411c8a: dec [rcx-0x7b]; ret
0x4333c6: ror [rdi],0x85; ret
0x40d2e2: in eax,dx; repz ret
0x438eb4: movsxd eax,ecx; ret
0x402977: dec [rax-0x39]; ret
0x48f77d: and ebx,[rbx]; iret
0x46e00d: jmp 0x1096695e; ret
0x415d05: cmovne rax,rdx; ret
0x41d735: cmp [rax],r10b; ret
0x4090ad: dec [rax+0x29]; ret
0x4220ec: rex.RXB retf 0x894c
0x49af74: add [rdx],0x4a; ret
0x467ba8: dec [rcx-0x77]; ret
0x41826f: shr [rcx],0xc8; ret
0x40197d: dec [rax-0x77]; ret
0x472d0f: rex.WRB retf 0xffff
0x46d106: sub eax,ds:0x0; ret
0x41d745: cmp [rax],r12b; ret
0x45aa3c: dec [rbp+0x63]; ret
0x4388c8: fdivr st,st(7); ret
0x49dab8: add [rdx],0x76; ret
0x43264d: xlat ds:[rbx]; retf
0x438eb3: movsxd rax,ecx; ret
0x46d105: sub rax,ds:0x0; ret
0x43dc4d: nop [rax]; repz ret
0x409e6f: fmul [rax-0x77]; ret
0x401b24: call 0x5c817884; ret
0x469211: or [rax+0x1],cl; ret
0x44c990: in al,0xf; lahf; ret
0x46137d: call 0x783ed884; ret
0x46b6b2: call 0x7cd1feb8; ret
0x40c1b3: call 0x5c821f13; ret
0x406fe0: call 0x64cdbbe8; ret
0x490128: shl [rdi-0x5],1; ret
0x461501: call 0x783eda08; ret
0x46124c: call 0x783ed753; ret
0x474051: call 0x74d48c57; ret
0x46f2a0: or [rax+0x2],bh; ret
0x4599e8: fmul [rbp+0x63]; ret
0x4109b1: add al,ch; stc; iret
0x4615c0: call 0x783edac7; ret
0x4612de: call 0x783ed7e5; ret
0x41db9b: clc; vzeroupper; ret
0x461525: call 0x783eda2c; ret
0x40a910: movzx eax,[rdx]; ret
0x46159c: call 0x783edaa3; ret
0x40bbca: movzx eax,[rax]; ret
0x461565: call 0x783eda6c; ret
0x461545: call 0x783eda4c; ret
0x461575: call 0x783eda7c; ret
0x401ab2: call 0x5c817812; ret
0x4614ea: call 0x783ed9f1; ret
0x45aa5a: fadd [rcx-0x77]; ret
0x40515b: ror [rax+0x1],1; ret
0x439b92: cld; vzeroupper; ret
0x4615e0: call 0x783edae7; ret
0x461270: call 0x783ed777; ret
0x4913b8: fcmovb st,st(3); ret
0x422076: rex.WRXB retf 0x894c
0x461194: call 0x783ed69b; ret
0x46162e: call 0x783edb35; ret
0x407f1f: call 0x5c81dc7f; ret
0x40bb38: call 0x5c821898; ret
0x46434e: leave; nop; repz ret
0x409afb: call [rbx+0x5d]; ret
0x461290: call 0x783ed797; ret
0x4614b8: call 0x783ed9bf; ret
0x42a8e5: mov [r9-0x2],cx; ret
0x438d5e: xchg ax,ax; repz ret
0x40909e: dec [rax-0x77]; retf
0x463f97: fucomi st,st(0); ret
0x40bb54: call 0x5c8218b4; ret
0x46fdd1: clc; sub rax,r8; ret
0x405893: pop rbp; pop r14; ret
0x42a8c0: mov [r9-0x8],rcx; ret
0x43ff70: add al,ch; ret 0xfc04
0x40f60f: add eax,0x2921cc; ret
0x46dc38: or [rbp+0x39],cl; ret
0x401f33: pop r15; pop rbp; ret
0x43656a: mov [rdi+0x8],dx; ret
0x409412: or [rax+0x29],cl; ret
0x4005f4: pop rsi; pop r15; ret
0x46df93: mov [rdi+0x8],r9; ret
0x460d9f: clc; shr rax,0x2; ret
0x46b788: mov eax,fs:[rax]; ret
0x4364f6: mov [rdi+0x2],dh; ret
0x40ea83: xor eax,eax; repz ret
0x43d9f9: pop rdx; pop rsi; ret
0x40f685: add eax,0x2921b6; ret
0x407abe: pop rsi; pop rbp; ret
0x40c03f: nop; xor eax,eax; ret
0x4383c7: repz sub eax,edx; ret
0x43ac8a: pop rbp; pop rbp; ret
0x4403f2: add eax,0x264531; ret
0x401c86: pop rbx; pop rbp; ret
0x438abc: outs dx,ds:[rsi]; ret
0x4093e3: adc [rax+0x1],cl; ret
0x44a909: sbb [rax+0x1],cl; ret
0x49bee0: or eax,0x10a0303; ret
0x401f34: pop rdi; pop rbp; ret
0x4620db: add al,0x11; repz ret
0x49bf38: or eax,0x1370303; ret
0x43b78b: add bh,[rax-0x1]; ret
0x438bff: add [rcx+0x1],cl; ret
0x436528: mov [rdi+0x4],dx; ret
0x421a34: mov [rdi-0x2],dx; ret
0x40934a: and [rax+0x1],cl; ret
0x46de89: mov [rdi-0x8],r9; ret
0x401488: pop rbp; pop r12; ret
0x447d02: add eax,0x25c171; ret
0x4780ae: or [rax-0x77],cl; ret
0x409aba: add [rax-0x1],bh; ret
0x46f0ec: add [rax+0x1],bh; ret
0x4945e5: add bl,[rax+0xa]; ret
0x492139: fcomp [rdx+0x21]; ret
0x49becf: or rax,0x34b0303; ret
0x402157: add [rax+0x1],cl; ret
0x46ae2b: add eax,0x239580; ret
0x4084e7: or cl,[rax-0x7d]; ret
0x468328: ror [rax-0x7d],1; ret
0x49bed0: or eax,0x34b0303; ret
0x45a6db: fimul [rbp+0x63]; ret
0x460e7e: mov eax,edx; repz ret
0x40f725: cmp al,0x30; repz ret
0x408f6e: ror [rax+0x29],1; ret
0x46f2fd: add [rax+0x2],bh; ret
0x439055: mov [rsi-0x2],cx; ret
0x40f695: add eax,0x2921ae; ret
0x40fc55: fcomp [rbx+0x5d]; ret
0x40e0ab: lea eax,[r8-0x1]; ret
0x4490c0: pop rbx; pop r14; ret
0x4276d3: or eax,0xf7f0ff3; ret
0x46f4b9: add eax,0x234baa; ret
0x46f097: rcr [rbp+0x5b],1; ret
0x4726bf: nop; add rsp,0x8; ret
0x45d47d: cmp [rax+0x1],cl; ret
0x46d237: pop rdx; pop rbx; ret
0x40f5f4: add eax,0x29479b; ret
0x40f5df: add eax,0x292204; ret
0x43ac89: pop r13; pop rbp; ret
0x49bf03: or rax,0x35b0303; ret
0x49bf04: or eax,0x35b0303; ret
0x401d0c: pop rsp; pop r13; ret
0x4217cb: mov [rdi-0x1],dl; ret
0x42a8d1: mov [r9-0x4],ecx; ret
0x40f5be: add eax,0x292249; ret
0x432511: enter 0xf66,0xeb; ret
0x477faf: sbb eax,eax; repz ret
0x49571d: add dh,[rcx+0xa]; ret
0x4383e7: cmc; sub eax,edx; ret
0x41d4f7: clc; add rax,rcx; ret
0x405892: pop r13; pop r14; ret
0x46bbfd: add rsp,0x30; bnd ret
0x4142c7: add eax,0x28d594; ret
0x475118: and al,0xd8; repz ret
0x4091b0: ror [rax-0x77],1; ret
0x40ece2: add eax,0x292439; ret
0x470031: add eax,0x23488a; ret
0x46bbfe: add esp,0x30; bnd ret
0x4019a7: fucomip st,st(0); ret
0x436f06: add dh,dh; ret 0x7520
0x421c1c: mov [rdi-0x2],cx; ret
0x4081f2: rcr [rbx+0x5d],1; ret
0x40f635: add eax,0x2921be; ret
0x46ad36: add eax,0x239675; ret
0x447e5c: pop rbx; pop r12; ret
0x438f0b: clc; sub rax,rsi; ret
0x46f098: pop rbp; pop rbx; ret
0x42a8e6: mov [r9-0x2],ecx; ret
0x436f41: add dh,dh; ret 0x7504
0x40f625: add eax,0x2921d6; ret
0x480ae6: add [rax],al; ret 0x0
0x44a335: mov fs:[rdx],rax; ret
0x401d0b: pop r12; pop r13; ret
0x401c85: or [rbx+0x5d],bl; ret
0x491f89: cmc; mov ch,0xab; ret
0x407abd: pop r14; pop rbp; ret
0x436f13: add dh,dh; ret 0x7540
0x49bf37: or rax,0x1370303; ret
0x46f129: add bh,[rax+0x1]; ret
0x43ee82: add eax,0x263479; ret
0x438397: lock sub eax,edx; ret
0x4005f3: pop r14; pop r15; ret
0x436f34: add dh,dh; ret 0x7502
0x43cbf2: or [rax-0x7d],cl; ret
0x4757c1: fucomip st,st(1); ret
0x46f284: add bh,[rax+0x2]; ret
0x472a35: fidivr [rax+0x1]; ret
0x43d9d3: pop rdx; pop r10; ret
0x4383d7: hlt; sub eax,edx; ret
0x460e7d: mov rax,rdx; repz ret
0x40c072: neg eax; pop rbx; ret
0x43602d: lea eax,[rdx+0x2]; ret
0x43666c: mov [rdi+0xf],rcx; ret
0x46d0f1: mov eax,[rax+0x8]; ret
0x439056: mov [rsi-0x2],ecx; ret
0x441516: and [rax-0x7d],cl; ret
0x436bff: lea eax,[rdi+0xc]; ret
0x415b44: mov esp,0x5c70028; ret
0x49bed2: add ecx,[rbx+0x3]; ret
0x43605b: lea eax,[rdx+0x4]; ret
0x43dbc5: mov [rax+0x8],edx; ret
0x4009ce: add [rax],al; repz ret
0x421519: mov [rdi-0x8],ecx; ret
0x436bfe: lea rax,[rdi+0xc]; ret
0x436c59: lea eax,[rdi+0xf]; ret
0x43611d: add eax,0xc428d48; ret
0x436b25: lea eax,[rdi+0x3]; ret
0x436537: mov [rdi+0x3],edx; ret
0x417fad: enter 0x31c3,0xc0; ret
0x46df94: mov [rdi+0x8],ecx; ret
0x46009f: add [rcx+0x39],cl; ret
0x4004cd: add [rsi-0x70],ah; ret
0x438bf3: lea rax,[rcx-0x1]; ret
0x43606d: lea eax,[rdx+0x5]; ret
0x436579: mov [rdi+0x7],edx; ret
0x43913f: adc [rsi+0x3],edx; ret
0x40a066: cmp [rax+0x29],cl; ret
0x46defe: mov [rdi-0x10],r9; ret
0x43609c: lea rax,[rdx+0x8]; ret
0x457621: add cl,[rax+0x29]; ret
0x43611e: lea rax,[rdx+0xc]; ret
0x436b38: lea eax,[rdi+0x4]; ret
0x4084be: cmp [rax+0x39],cl; ret
0x4419d7: adc [rax-0x77],cl; ret
0x43664d: mov [rdi+0xe],ecx; ret
0x42abb7: adc [rcx+0x7],edi; ret
0x401cd7: sub cl,[rax-0x77]; ret
0x436b37: lea rax,[rdi+0x4]; ret
0x436044: lea rax,[rdx+0x3]; ret
0x42a8d2: mov [rcx-0x4],ecx; ret
0x47039f: sbb [rax-0x77],cl; ret
0x4599dc: add cl,[rcx+0x29]; ret
0x4366b0: mov [rdi+0x18],dh; ret
0x436b8a: lea eax,[rdi+0x8]; ret
0x4360fc: lea rax,[rdx+0xb]; ret
0x42abb6: adc [rcx+0x7],rdi; ret
0x436bbc: lea rax,[rdi+0xa]; ret
0x4096e7: sbb [rbx+0x5d],bl; ret
0x436b1a: lea eax,[rdi+0x2]; ret
0x47650c: sub [rax-0x77],cl; ret
0x43606c: lea rax,[rdx+0x5]; ret
0x436b9e: lea rax,[rdi+0x9]; ret
0x42a816: adc [rcx-0x1],edi; ret
0x4017e3: fisttp [rax-0x7d]; ret
0x435f96: lea rax,[rdx+0x7]; ret
0x4365aa: mov [rdi+0x6],rdx; ret
0x4383b7: repnz sub eax,edx; ret
0x43660b: mov [rdi+0xf],ecx; ret
0x43605a: lea rax,[rdx+0x4]; ret
0x442869: or ecx,[rax-0x7d]; ret
0x43611f: lea eax,[rdx+0xc]; ret
0x40569f: add [rax-0x7d],cl; ret
0x4691e9: clc; add al,0x75; retf
0x436b24: lea rax,[rdi+0x3]; ret
0x40fa11: sbb [rax+0x39],cl; ret
0x40d316: mov [rdi+0x8],rax; ret
0x488736: add [rax],al; ret 0x24
0x4360dd: lea eax,[rdx+0xa]; ret
0x40d317: mov [rdi+0x8],eax; ret
0x46107f: pcmpeqb mm3,[rsi]; ret
0x42a851: adc [rcx-0x1],rbx; ret
0x436b9f: lea eax,[rdi+0x9]; ret
0x435f97: lea eax,[rdx+0x7]; ret
0x40f987: adc [rcx-0x7d],al; ret
0x436017: lea eax,[rdx+0x1]; ret
0x43656b: mov [rdi+0x8],edx; ret
0x4360fd: lea eax,[rdx+0xb]; ret
0x405a60: sub [rax-0x7d],cl; ret
0x436bbd: lea eax,[rdi+0xa]; ret
0x436c58: lea rax,[rdi+0xf]; ret
0x438fdd: adc [rsi-0x1],rdx; ret
0x4360bd: lea eax,[rdx+0x9]; ret
0x449290: add [rax+0x63],cl; ret
0x4422df: xor [rax-0x7d],cl; ret
0x410265: adc eax,0x1480029; ret
0x43913e: adc [rsi+0x3],rdx; ret
0x435fee: lea rax,[rdx+0xf]; ret
0x400fb7: add [rax-0x39],cl; ret
0x421557: mov [rdi-0x8],edx; ret
0x436bdd: lea eax,[rdi+0xb]; ret
0x436c3e: lea rax,[rdi+0xe]; ret
0x42a815: adc [rcx-0x1],rdi; ret
0x436c3f: lea eax,[rdi+0xe]; ret
0x43613f: lea eax,[rdx+0xd]; ret
0x43608b: lea eax,[rdx+0x6]; ret
